Noun,Adjective Modifier,Verb,Sentence
Dog,Happy,Wags,"A happy dog wags its tail."
Building,Tall,Casts,"A tall building casts a long shadow."
Book,Good,Engages,"A good book engages the reader."
Habit,Bad,Is,"A bad habit is hard to break."
Wind,Strong,Blows,"A strong wind blows leaves away."
Blanket,Warm,Keeps,"A warm blanket keeps you cozy."
Singer,Talented,Performs,"A talented singer performs well."
Cake,Delicious,Tastes,"A delicious cake tastes sweet."
Sunset,Beautiful,Paints,"A beautiful sunset paints the sky."
Bee,Busy,Collects,"A busy bee collects nectar."
Child,Curious,Asks,"A curious child asks questions."
Surgeon,Skilled,Performs,"A skilled surgeon performs operations."
Car,Fast,Races,"A fast car races down the track."
Cooker,Slow,Cooks,"A slow cooker cooks stew all day."
Smartphone,Smart,Connects,"A smartphone connects to the internet."
Muscle,Sore,Feels,"A sore muscle feels painful."
Plant,Young,Needs,"A young plant needs watering."
Tree,Old,Has,"An old tree has deep roots."
House,Big,Requires,"A big house requires maintenance."
Marker,Colorful,Highlights,"A colorful marker highlights important information."
Pencil,Soft,Sketches,"A soft pencil sketches a rough draft."
Eraser,Large,Deletes,"A large eraser deletes mistakes."
Ruler,Long,Measures,"A long ruler measures length."
Protractor,Accurate,Measures,"An accurate protractor measures angles."
Paintbrush,Wide,Paints,"A wide paintbrush paints broad strokes."
Easel,Sturdy,Holds,"A sturdy easel holds a canvas steady."
Canvas,Empty,Awaits,"An empty canvas awaits creation."
Chalk,White,Writes,"White chalk writes on blackboards."
Blackboard,Black,Erases,"A black blackboard erases easily."
Computer,Powerful,Calculates,"A powerful computer calculates complex equations."
Keyboard,Quiet,Types,"A quiet keyboard types out reports."
Mouse,Wireless,Clicks,"A wireless mouse clicks on icons."
Printer,Fast,Prints,"A fast printer prints documents quickly."
Ink,Vibrant,Colors,"Vibrant ink colors graphics."
Paper,Recycled,Uses,"Recycled paper uses less resources."
Camera,Digital,Captures,"A digital camera captures memories."
Lens,Wide-angle,Frames,"A wide-angle lens frames landscapes."
Flash,Bright,Illuminates,"A bright flash illuminates dark scenes."
Speakers,Clear,Play,"Clear speakers play music loudly."
Audio,High-quality,Enhances,"High-quality audio enhances sound effects."
Telescope,Advanced,Observes,"An advanced telescope observes celestial bodies."
Magnifying glass,Handheld,Examines,"A handheld magnifying glass examines small objects."
Lamp,Bright,Lights,"A bright lamp lights up a room."
Bulb,Energy-efficient,Lasts,"An energy-efficient bulb lasts longer."
Switch,Easy-to-use,Turns,"An easy-to-use switch turns on the lights."
Air conditioner,Efficient,Cools,"An efficient air conditioner cools the room."
Heater,Effective,Warms,"An effective heater warms up the space."
Vacuum cleaner,Powerful,Cleans,"A powerful vacuum cleaner cleans thoroughly."
Sink,Deep,Holds,"A deep sink holds plenty of water."
Toilet,Modern,Flushes,"A modern toilet flushes efficiently."
Door,Solid,Opens,"A solid door opens with ease."
Roof,Strong,Protects,"A strong roof protects from the elements."
Chair,Comfortable,Supports,"A comfortable chair supports your back."
Table,Sturdy,Holds,"A sturdy table holds heavy objects."
Bed,Soft,Sleeps,"A soft bed sleeps soundly."
Pillow,Fluffy,Cradles,"A fluffy pillow cradles your head."
Blanket,Warm,Keep,"A warm blanket keeps you cozy."
Sheet,Soft,Feels,"Soft sheets feel luxurious."
Fork,Sharp,Pierces,"A sharp fork pierces meat."
Knife,Serrated,Slices,"A serrated knife slices bread."
Pan,Non-stick,Cooks,"A non-stick pan cooks food evenly."
Pot,Large,Boils,"A large pot boils water quickly."
Kettle,Electric,Whistles,"An electric kettle whistles when it's ready."
Coffee maker,Automatic,Brews,"An automatic coffee maker brews coffee with ease."
Toaster,Compact, Toasts,"A compact toaster toasts bread perfectly."
Blender,Powerful,Blends,"A powerful blender blends smoothies quickly."
Stand mixer,Heavy-duty,Mixes,"A heavy-duty stand mixer mixes dough effortlessly."
Slow cooker,Programmable,Cooks,"A programmable slow cooker cooks meals slowly."
Oven,Convection,Bakes,"A convection oven bakes cookies evenly."
Dishwasher,Energy-efficient,Cleans,"An energy-efficient dishwasher cleans dishes quietly."
Refrigerator,Sprawling,Cools,"A sprawling refrigerator cools drinks effectively."
Freezer,Compact,Freezes,"A compact freezer freezes food safely."
Washing machine,High-capacity,Washes,"A high-capacity washing machine washes clothes efficiently."
Iron,Steam,Irons,"A steam iron irons clothes wrinkle-free."
Vacuum cleaner,Lightweight,Clean,"A lightweight vacuum cleaner cleans floors easily."
Mop,Adjustable,Cleans,"An adjustable mop cleans corners precisely."
Broom,Durable,Sweeps,"A durable broom sweeps floors clean."
Dustpan,Sturdy,Picks,"A sturdy dustpan picks up debris."
Air freshener,Fragrant,Freshens,"A fragrant air freshener freshenes the air."
Toilet brush,Long-handled,Scrubs,"A long-handled toilet brush scrubs the bowl clean."
Toilet plunger,Powerful,Unclogs,"A powerful toilet plunger unclogs drains easily."
Bath mat,Soft,Cushions,"A soft bath mat cushions your feet."
Shower curtain, Waterproof ,Prevents,"A waterproof shower curtain prevents water from leaking onto the floor."
Showerhead,Multiple settings, Massages,"A multiple-setting showerhead massages your scalp and body."
Towels,absorbent,Dry,"Absorbent towels dry quickly."
Toilet paper,Quilted,Softens,"Quilted toilet paper softens the texture."
Shower curtain hooks,Adjustable,Hang,"Adjustable shower curtain hooks hang securely."
Shower rings,Durable,Hold,"Durable shower rings hold strongly."
Shower curtain rod,Tension,Hangs,"A tension shower curtain rod hangs steadily."
Bath rug,Non-slip,Prevents,"A non-slip bath rug prevents slipping."
Shower gel,Moisturizing,Soothes,"Moisturizing shower gel soothes skin."
Body wash,Rich,Cleans,"Rich body wash cleans thoroughly."
Shampoo,Sulfate-free,Lathers,"Sulfate-free shampoo lathers nicely."
Conditioner,Leaves-in,Softens,"Leaves-in conditioner softens hair."
Hair mask,Deep,Nourishes,"A deep hair mask nourishes strands."
Hair oil,Lightweight,Hydrates,"Lightweight hair oil hydrates without weighing down."
